Make,Model,Modulation,Weight,Dimensions,Torque,Speed,Motor,Rotation,Gear,Typical,Compare
Ace RC,C0915,Analog,0.32 oz,0.87?0.45?0.93 in,4.8VÊ20.8 oz-in,4.8VÊ0.10 s/60¡,(add),Single Bearing,Plastic,$30.99 ,
,,,,,6.0VÊ26.4 oz-in,6.0VÊ0.08 s/60¡,,,,,
Ace RC,C1016,Analog,0.32 oz,0.87?0.45?0.93 in,4.8VÊ22.2 oz-in,4.8VÊ0.10 s/60¡,(add),Single Bearing,Metal,$17.99 ,
Ace RC,DS0606,Digital,2.12 oz,1.59?0.80?1.56 in,4.8VÊ58.0 oz-in,4.8VÊ0.07 s/60¡,Coreless,Dual Bearings,Plastic,$83.95 ,
,,,,,6.0VÊ74.0 oz-in,6.0VÊ0.06 s/60¡,,,,,
Ace RC,DS1013,Digital,2.19 oz,1.62?0.79?1.51 in,6.0VÊ180.5 oz-in,6.0VÊ0.11 s/60¡,Coreless,(add),Metal,$93.99 ,
Ace RC,DS1015,Digital,2.33 oz,1.65?0.81?1.56 in,6.0VÊ201.4 oz-in,6.0VÊ0.11 s/60¡,Coreless,Single Bearing,Metal,$96.99 ,
Ace RC,DS1111,Digital,2.28 oz,1.62?0.79?1.51 in,4.8VÊ118.0 oz-in,4.8VÊ0.16 s/60¡,Coreless,(add),Metal,$92.99 ,
Ace RC,DS1211,Digital,2.19 oz,1.62?0.79?1.51 in,6.0VÊ149.9 oz-in,6.0VÊ0.13 s/60¡,Coreless,(add),Metal,$79.99 ,
Ace RC,DS1213,Digital,2.33 oz,1.65?0.81?1.56 in,4.8VÊ133.0 oz-in,4.8VÊ0.16 s/60¡,Coreless,(add),Metal,$96.99 ,
Ace RC,DS1313,Digital,2.33 oz,1.65?0.81?1.56 in,6.0VÊ173.6 oz-in,6.0VÊ0.13 s/60¡,Coreless,Single Bearing,Metal,$74.99 ,
Ace RC,S1807MG,Analog,1.71 oz,1.59?0.79?1.49 in,4.8VÊ95.8 oz-in,4.8VÊ0.18 s/60¡,(add),Dual Bearings,Metal,$39.99 ,
Ace RC,S1903,Analog,1.64 oz,1.59?0.79?1.49 in,4.8VÊ41.7 oz-in,4.8VÊ0.19 s/60¡,(add),Bushing,Plastic,$14.99 ,
Ace RC,S1903MG,Analog,1.78 oz,1.59?0.79?1.49 in,4.8VÊ41.7 oz-in,4.8VÊ0.19 s/60¡,(add),Bushing,Hybrid,$16.99 ,
Ace RC,S2008MG,Analog,1.71 oz,1.59?0.79?1.49 in,4.8VÊ108.3 oz-in,4.8VÊ0.21 s/60¡,(add),Dual Bearings,Metal,$44.99 ,
Ace RC,WQ2811,(add),4.23 oz,2.28?1.10?2.05 in,6.0VÊ153.0 oz-in,6.0VÊ0.28 s/60¡,(add),(add),(add),(add),
Airtronics,141MG,(add),0.89 oz,1.42?0.66?1.29 in,4.8VÊ45.0 oz-in,4.8VÊ0.20 s/60¡,Coreless,(add),Metal,$59.95 ,
Airtronics,94051Z,Analog,0.78 oz,1.34?0.55?1.34 in,4.8VÊ18.0 oz-in,4.8VÊ0.19 s/60¡,3-pole,Bushing,Plastic,$29.95 ,
,,,,,6.0VÊ23.0 oz-in,6.0VÊ0.15 s/60¡,,,,,
Airtronics,94091Z,Analog,0.32 oz,0.91?0.44?0.87 in,4.8VÊ18.0 oz-in,4.8VÊ0.12 s/60¡,3-pole,Bushing,Plastic,$13.99 ,
,,,,,6.0VÊ23.0 oz-in,6.0VÊ0.10 s/60¡,,,,,
Airtronics,94102Z,Analog,1.59 oz,1.54?0.79?1.42 in,4.8VÊ42.0 oz-in,4.8VÊ0.20 s/60¡,3-pole,Bushing,Plastic,$11.99 ,
,,,,,6.0VÊ53.0 oz-in,6.0VÊ0.16 s/60¡,,,,,
Airtronics,94112Z,Analog,1.59 oz,1.54?0.79?1.42 in,4.8VÊ45.0 oz-in,4.8VÊ0.17 s/60¡,3-pole,Bushing,Plastic,(add),
,,,,,6.0VÊ56.0 oz-in,6.0VÊ0.14 s/60¡,,,,,
Airtronics,94141Z,Analog,1.16 oz,1.42?0.59?1.29 in,4.8VÊ45.0 oz-in,4.8VÊ0.20 s/60¡,(add),Single Bearing,Metal,$59.95 ,
,,,,,6.0VÊ56.0 oz-in,6.0VÊ0.16 s/60¡,,,,,
Airtronics,94145Z,Analog,1.09 oz,1.42?0.59?1.29 in,4.8VÊ26.0 oz-in,4.8VÊ0.09 s/60¡,Coreless,Single Bearing,Hybrid,$63.95 ,
,,,,,6.0VÊ32.0 oz-in,6.0VÊ0.07 s/60¡,,,,,
Airtronics,94161Z,Analog,2.36 oz,1.54?0.78?1.61 in,4.8VÊ115.0 oz-in,4.8VÊ0.23 s/60¡,3-pole,Dual Bearings,Metal,$74.95 ,
,,,,,6.0VÊ144.0 oz-in,6.0VÊ0.18 s/60¡,,,,,
Airtronics,94162Z,Analog,2.36 oz,1.54?0.79?1.61 in,4.8VÊ115.0 oz-in,4.8VÊ0.23 s/60¡,3-pole,Dual Bearings,Metal,$29.99 ,
,,,,,6.0VÊ144.0 oz-in,6.0VÊ0.18 s/60¡,,,,,
Airtronics,94257Z,(add),1.80 oz,1.54?0.79?1.38 in,4.8VÊ110.0 oz-in,4.8VÊ0.06 s/60¡,Coreless,(add),Metal,$114.95 ,
Airtronics,94258Z,(add),1.80 oz,1.54?0.79?1.38 in,4.8VÊ145.0 oz-in,4.8VÊ0.09 s/60¡,Coreless,(add),Metal,$114.95 ,
